"Period,Date,Interest,Principal,Total,Balance,Interest_Rate"
"0,17-May-24,0.00 ,0.00 ,0.00 ,1440000.00 ,0"
"1,28-Jun-24,6944.00 ,2400.00 ,9344.00 ,1437600.00 ,4.29"
"2,27-Jul-24,5055.00 ,2400.00 ,7455.00 ,1435200.00 ,4.29"
"3,27-Aug-24,5215.00 ,2400.00 ,7615.00 ,1432800.00 ,4.29"
"4,27-Sep-24,4844.00 ,2400.00 ,7244.00 ,1430400.00 ,4.04"
"5,27-Oct-24,4737.00 ,2400.00 ,7137.00 ,1428000.00 ,4.04"
"6,27-Nov-24,4886.00 ,2400.00 ,7286.00 ,1425600.00 ,4.04"
"7,27-Dec-24,3920.00 ,2400.00 ,6320.00 ,1423200.00 ,3.29"
"8,7-Jan-25,0.00 ,3200.00 ,3200.00 ,1420000.00 ,0.00"
"9,27-Jan-25,4217.00 ,2400.00 ,6617.00 ,1417600.00 ,3.56"
"10,27-Feb-25,4196.00 ,2400.00 ,6596.00 ,1415200.00 ,3.55"
"11,27-Mar-25,3160.00 ,2400.00 ,5560.00 ,1412800.00 ,2.67"
"12,22-Apr-25,0.00 ,12800.00 ,12800.00 ,1400000.00 ,0.00"
"13,27-Apr-25,3648.00 ,2400.00 ,6048.00 ,1397600.00 ,3.13"
"14,27-May-25,3486.00 ,2400.00 ,5886.00 ,1395200.00 ,2.99"
"15,27-Jun-25,3602.00 ,2400.00 ,6002.00 ,1392800.00 ,3.10"
"16,27-Jul-25,3480.00 ,2400.00 ,5880.00 ,1390400.00 ,3.00"
"17,8-Aug-25,0.00 ,10000.00 ,10000.00 ,1380400.00 ,0.00"
"18,27-Aug-25,3590.00 ,8400.00 ,11990.00 ,1372000.00 ,3.12"
"19,27-Sep-25,3169.00 ,8400.00 ,11569.00 ,1363600.00 ,2.77"
"20,1-Oct-25,0.00,4600.00 ,4600.00 ,1359000.00 ,0.00"
"21,27-Oct-25,3118,8400.00 ,11518.00 ,1350600.00 ,2.75"
